Hindustan Petroleum Pump CNG,9.57878,76.32734
Indian Oil Petrol Pump,9.56253,76.30923
Indian Oil Petrol Pump - HI-POINT FUELS,9.53798,76.32751
ESI Petrol Pump,9.53366,76.3276
Bharat Petroleum Petrol Pump -Crescent Fuels,9.51504,76.3385
IOC Petrol Autogas Bunk,9.51083,76.33902
Hindustan Petroleum Prima Fuels,9.5049,76.32833
Supplyco Petrol Bunk Alappuzha,9.50008,76.33404
PAUL MURICKEN fuels,9.5005,76.3388
Indian Oil KSRTC Petrol Pump,9.50004,76.34648
SWTD Fuel Station,9.50016,76.3491
Bharat Petroleum,9.49813,76.33876
Indian Oil - T.C. Fuels,9.49006,76.33859
Bharat Petroleum.,9.49033,76.33875
Bharat Petroleum,9.47014,76.34982
K K DAMODARAN FUELS Indian Oil,9.4427,76.34363
Hindustan Petroleum S Khadeeja Badarudeen,9.41277,76.34927
