Bharat Petroleum Pump,10.03553,76.31429
Bharat Petroleum Pump Thazhakkattu Fuels,10.03265,76.31249
Indian Oil Pump Sree Narayana Sales & Services,10.03252,76.31233
United Fuels - Indian Oil,10.02687,76.30954
Cochin Fuels,10.02176,76.30655
Hindustan Petroleum Pump,10.0217,76.30646
Moopen Ma & Brothers,10.0149,76.30347
Indian Oil Pump,10.01066,76.28721
Indian Oil Pump,10.01079,76.31177
Indian Oil Pump Trinity Fuels,10.01167,76.32282
Mookken Devassy Palarivattom & co,10.00375,76.30525
Indian Oil Pump,9.99518,76.29253
Indian Oil,9.9862,76.309
Bharat Petroleum Petrol Pump -K.A.Abdul Majeed & Sons,9.9954,76.32364
Bharat Petroleum Pump,9.99027,76.27122
Hindustan Petroleum Pump Kwality Auto Service,9.96416,76.31857
Indian Oil Pump Thathanat Agencies and CNG station,9.95114,76.33085
Indian Oil Pump & CNG station Meleth Agencies,9.94328,76.31849
Petrol Pump,9.94412,76.29463
Diesel Indian Oil Pump KSRTC,9.9777,76.28858
Hindustan Petroleum Pump,9.97555,76.28454
Bharat Petroleum Pump,9.97119,76.29845
Indian Oil Pump,9.96773,76.28223
Hindustan Petroleum Pump,9.96507,76.28995
