Indian Oil Corporation KUMUDHAM PETROL BUNK,11.75898,79.75571
ESSAR Petrol Bunk,11.76034,79.74721
Essar Petrol Bunk,11.74702,79.74321
A R DAMODARA MUDALAIR AND CO Bharat Petroleum,11.75036,79.76078
Bharat Petroleum Petrol Pump -Aswath & Co.,11.75007,79.76074
Aswath & Co,11.74338,79.75984
HP Petrol Pump,11.75424,79.76205
HP Petrol Pump,11.75093,79.76098
AN OIL SERVICES (NAYARA ENERGY LTD),11.73964,79.75961
Indian Oil Petrol Pump,11.71951,79.76874
Petrol Bunk,11.72292,79.7766
Indian Oil VCR ENTERPRISES VC RAMALINGAM,11.70103,79.759
Ram Lakshmi Agencies,11.76644,79.72544
NAYARA Energy,11.7233,79.76823
Indian oil petrol,11.76717,79.73843
Bharath Petroleum (YOGA ENTERPRISES),11.74731,79.72847
Hindustan Petrol Pump,11.68293,79.75113
Bharat Petroleum Petrol Pump -Karthi Fuels,11.66743,79.72457
Indian Oil Petrol Bunk,11.65341,79.70686
