Vinayaka Tirupur Cotton,11.23421,78.88068
IBP Red Pump,11.23441,78.8787
Indian Oil Corporation: Rajen Co.,11.23457,78.87608
Hindustan Petroleum,11.23648,78.88309
HP PETROL PUMP - SRI MEENAKSHI CHIDAMBARAM PET& CO,11.23618,78.88321
Anand Agencies- Bharat Petroleum Petrol Pump,11.23594,78.89283
Bharath Petrol Gas Pump,11.23872,78.86509
Central Township- Perambalur,11.23094,78.89074
Esser Petrol Pump,11.23031,78.88733
HP PETROL PUMP - VISHAL FILLING POINT,11.24926,78.85769
Auto LPG Go GAS,11.26037,78.89647
Rajam plus - Nayara Energy Petrol bunk,11.24137,78.9046
Venkatesvaraa Petroleum (Indian Oil Petrol Bunk),11.2366,78.84977
Indian Oil-Devasenapathi Agencies,11.25027,78.85707
BPCL PETROL BUNK,11.23697,78.92185
ESSAR Petrol Pump ABS AGENCES,11.19387,78.87353
Hindustan Petroleum,11.24022,78.91694
Reliance Petrol Pump,11.25483,78.89647
KR Fuels - Auto LPG Station - Perambalur,11.20131,78.87805
Hindustan Petroleum,11.24917,78.8575
