HPCL Auto Care Centre-HP Petrol Pump,15.83306,79.48906
Bharat Petroleum Petrol Pump -Karna Bros.Filling Station,15.77359,79.67857
Indian Oil Petrol Pump,15.79474,79.25697
Bharat Petroleum Petrol Pump -G.Ramalakshmaiah & Sons,15.72469,79.29405
Bharat Petroleum Petrol Pump -N.Babu Rao,15.40984,79.50142
HP PETROL PUMP - VASAVI PETROLEUMS,15.38601,79.03312
Bharat Petroleum Petrol Pump -Sri Sidhardha Filling Station,15.09451,79.41833
Bharat Petroleum Petrol Pump -Sri V.S.R. Agencies,15.8139,79.96422
Bharat Petroleum Petrol Pump -Sri Koteswara Filling Stn,15.72271,80.0164
Sri Venkateswara Filling Station-HP Petrol Pump,15.69891,80.23681
R.S.R Filling Station,15.59113,80.14686
Bharat Petroleum Petrol Pump -Pujitha Filling Station,15.53491,79.99717
Bharat Petroleum Petrol Pump -The Prakasam Dist Motor Ops Spr,15.52432,80.04661
Prakasam Police Oil Filling Station,15.50381,80.05348
Bharat Petroleum Petrol Pump  SRI VENKATA KRISHNA FUELS,15.42506,79.98722
Bharat Petroleum Petrol Pump -Sri Vighneswara Filling Station,15.39031,80.09536
Bharat Petroleum Petrol Pump -Sri Venketswara Oil Filling Stn.,15.29396,80.0267
Bharat Petroleum Petrol Pump -Sri Srinivasa Filling Station,15.26714,79.80457
Bharat Petroleum Petrol Pump -Sri Ankamma Thali Oil Co,15.22176,79.91306
Bharat Petroleum Petrol Pump -N.Kuppu Rao,15.0462,79.99985
