Haris fuels-Indian Oil Dealer,11.89509,75.38496
IOC Petrol Bunk,11.92507,75.35449
Pallikulam Petrol Pump,11.90836,75.36728
HP Petrol Pump,11.87787,75.35733
Hindustan Petroleum G G Fuels,11.87296,75.36553
Bharat Petroleum Petrol Pump -Ramla Enter.,11.85918,75.37561
Indian Oil Petrol Pump,11.85929,75.37853
Bharath Petroleum/ Ramraj & co,11.87904,75.37046
KSRTC Fuel Station,11.87623,75.37392
Bharat Petroleum Petrol Pump -Harrisbrothers,11.87529,75.37306
Kottachery Hindustan Petroleum,11.8747,75.38054
HARICHANDRA FUELS,11.88143,75.38379
Jayasree Petrol Pump,11.87287,75.39162
Elite petrol Bunk,11.8954,75.41059
Indian Oil,11.86029,75.41445
