Indian Oil Pump,8.53504,76.88158
Indian Oil - KSM Fuels,8.50769,76.89709
Indian Oil -Company Owned Company Operated Outlet Anayara,8.5132,76.90052
Hindustan Petroleum Fuel Station,8.50804,76.9058
Indian Oil Timber Fuels,8.50597,76.90924
Arvind Fuels Tvm Int Airport road,8.48362,76.93036
Indian - Deedi Fuels,8.49337,76.95307
Indian Oil,8.49394,76.96536
Indian Oil-Ulloor-TKV & SONS,8.53211,76.92877
Bharat Petroleum - KI George,8.52704,76.93922
Indian Oil - PTC Fuels,8.51792,76.94279
Indian Oil - Govind & Co,8.497,76.93575
Bharat Petroleum - Gopala Krishna Fuel Center,8.49916,76.94258
Indian Oil Vijay Enterprises,8.5004,76.94547
Indian Oil - Supplyco,8.49985,76.94881
Indian - Deedi Fuels,8.49337,76.95306
Indian Oil - KSRTC Yathra Fuels,8.48389,76.94781
Hindustan Petroleum - Auto Services,8.48475,76.95369
Varma Travels Fuel Centre,8.48482,76.9428
Bharat Petroleum Nana Auto Fuels,8.48115,76.94756
Indian Oil - Elengickal Fuels,8.54614,76.97357
Bharat Petroleum - M/s PK Parameswaran Nair,8.51682,76.96043
Hare Krishna Fuels - Indian Oil,8.51812,76.97997
Indian Oil,8.49394,76.96537
Supplyco fuels (Indian Oil),8.51035,76.96016
Bharat Petroleum - Pradeep Filling Station,8.50388,76.96894
Indian Oil - Freedom Fuel Filling Station,8.48873,76.97239
Indian Oil Corporation - Simis Fuels,8.46646,76.93892
