Indian Oil Petrol Station,10.00689,77.47311
Rama Jeyam Agencies Petrol Station,10.00842,77.48081
Indian Petroleum,9.9911,77.4894
Bharat Petroleum Petrol Pump -V.V Enterprises,10.0082,77.47335
Bharat Petroleum Petrol Pump -K.K.Samy Agencies,9.99591,77.48919
Hindustan Petroleum,10.01547,77.4793
Bharath Petroleum,10.02263,77.47949
Indian Oil - Thiruchenthil Agencies,9.98162,77.48884
Vaigai petrol pump,10.00532,77.51016
Essar oil petrol bunk,9.98411,77.45418
Ananya Indian oil petrol bunk.,10.00487,77.49929
BPCL Fuel Station,10.02285,77.47916
Bharat Petroleum Petrol Pump -Sri Jeyam Agency,10.02734,77.47962
Sri Renuga agencies (HPCL),10.00937,77.50086
Auto Gas Station,10.06193,77.51132
Karthi Agency Indian Oil Petrol Pump,10.04277,77.497
Reliance Petroleum,10.03603,77.48441
Bharat Petroleum Petrol Pump -Geethanjali Fuel Station,10.00991,77.54429
Indian Oil Petrol Pump,10.06087,77.50969
Indian Oil Petrol Pump,10.00827,77.55866
